Team,Wk 1,Wk 2,Wk 3,Wk 4,Wk 5,Wk 6,Wk 7,Wk 8,Wk 9,Wk 10,Wk 11,Wk 12,Wk 13,Wk 14,Wk 15,Wk 16,Wk 17,Wk 18
ARI,KC,at LV,LAR,at CAR,PHI,at SEA,NO,at MIN,SEA,at LAR,SF,LAC,BYE,NE,at DEN,TB,at ATL,at SF
ATL,NO,at LAR,at SEA,CLE,at TB,SF,at CIN,CAR,LAC,at CAR,CHI,at WAS,PIT,BYE,at NO,at BAL,ARI,TB
BAL,at NYJ,MIA,at NE,BUF,CIN,at NYG,CLE,at TB,at NO,BYE,CAR,at JAC,DEN,at PIT,at CLE,ATL,PIT,at CIN
BUF,at LAR,TEN,at MIA,at BAL,PIT,at KC,BYE,GB,at NYJ,MIN,CLE,at DET,at NE,NYJ,MIA,at CHI,at CIN,NE
CAR,CLE,at NYG,NO,ARI,SF,at LAR,TB,at ATL,at CIN,ATL,at BAL,DEN,BYE,at SEA,PIT,DET,at TB,at NO
CHI,SF,at GB,HOU,at NYG,at MIN,WAS,at NE,at DAL,MIA,DET,at ATL,at NYJ,GB,BYE,PHI,BUF,at DET,MIN
CIN,PIT,at DAL,at NYJ,MIA,at BAL,at NO,ATL,at CLE,CAR,BYE,at PIT,at TEN,KC,CLE,at TB,at NE,BUF,BAL
CLE,at CAR,NYJ,PIT,at ATL,LAC,NE,at BAL,CIN,BYE,at MIA,at BUF,TB,at HOU,at CIN,BAL,NO,at WAS,at PIT
DAL,TB,CIN,at NYG,WAS,at LAR,at PHI,DET,CHI,BYE,at GB,at MIN,NYG,IND,HOU,at JAC,PHI,at TEN,at WAS
DEN,at SEA,HOU,SF,at LV,IND,at LAC,NYJ,at JAC,BYE,at TEN,LV,at CAR,at BAL,KC,ARI,at LAR,at KC,LAC
DET,PHI,WAS,at MIN,SEA,at NE,BYE,at DAL,MIA,GB,at CHI,at NYG,BUF,JAC,MIN,at NYJ,at CAR,CHI,at GB
GB,at MIN,CHI,at TB,NE,NYG,NYJ,at WAS,at BUF,at DET,DAL,TEN,at PHI,at CHI,BYE,LAR,at MIA,MIN,DET
HOU,IND,at DEN,at CHI,LAC,at JAC,BYE,at LV,TEN,PHI,at NYG,WAS,at MIA,CLE,at DAL,KC,at TEN,JAC,at IND
IND,at HOU,at JAC,KC,TEN,at DEN,JAC,at TEN,WAS,at NE,at LV,PHI,PIT,at DAL,BYE,at MIN,LAC,at NYG,HOU
JAC,at WAS,IND,at LAC,at PHI,HOU,at IND,NYG,DEN,LV,at KC,BYE,BAL,at DET,at TEN,DAL,at NYJ,at HOU,TEN
KC,at ARI,LAC,at IND,at TB,LV,BUF,at SF,BYE,TEN,JAC,at LAC,LAR,at CIN,at DEN,at HOU,SEA,DEN,at LV
LV,at LAC,ARI,at TEN,DEN,at KC,BYE,HOU,at NO,at JAC,IND,at DEN,at SEA,LAC,at LAR,NE,at PIT,SF,KC
LAR,BUF,ATL,at ARI,at SF,DAL,CAR,BYE,SF,at TB,ARI,at NO,at KC,SEA,LV,at GB,DEN,at LAC,at SEA
LAC,LV,at KC,JAC,at HOU,at CLE,DEN,SEA,BYE,at ATL,at SF,KC,at ARI,at LV,MIA,TEN,at IND,LAR,at DEN
MIA,NE,at BAL,BUF,at CIN,at NYJ,MIN,PIT,at DET,at CHI,CLE,BYE,HOU,at SF,at LAC,at BUF,GB,at NE,NYJ
MIN,GB,at PHI,DET,at NO,CHI,at MIA,BYE,ARI,at WAS,at BUF,DAL,NE,NYJ,at DET,IND,NYG,at GB,at CHI
NE,at MIA,at PIT,BAL,at GB,DET,at CLE,CHI,at NYJ,IND,BYE,NYJ,at MIN,BUF,at ARI,at LV,CIN,MIA,at BUF
NO,at ATL,TB,at CAR,MIN,SEA,CIN,at ARI,LV,BAL,at PIT,LAR,at SF,at TB,BYE,ATL,at CLE,at PHI,CAR
NYG,at TEN,CAR,DAL,CHI,at GB,BAL,at JAC,at SEA,BYE,HOU,DET,at DAL,WAS,PHI,at WAS,at MIN,IND,at PHI
NYJ,BAL,at CLE,CIN,at PIT,MIA,at GB,at DEN,NE,BUF,BYE,at NE,CHI,at MIN,at BUF,DET,JAC,at SEA,at MIA
PHI,at DET,MIN,at WAS,JAC,at ARI,DAL,BYE,PIT,at HOU,WAS,at IND,GB,TEN,at NYG,at CHI,at DAL,NO,NYG
PIT,at CIN,NE,at CLE,NYJ,at BUF,TB,at MIA,at PHI,BYE,NO,CIN,at IND,at ATL,BAL,at CAR,LV,at BAL,CLE
SF,at CHI,SEA,at DEN,LAR,at CAR,at ATL,KC,at LAR,BYE,LAC,at ARI,NO,MIA,TB,at SEA,WAS,at LV,ARI
SEA,DEN,at SF,ATL,at DET,at NO,ARI,at LAC,NYG,at ARI,at TB,BYE,LV,at LAR,CAR,SF,at KC,NYJ,LAR
TB,at DAL,at NO,GB,KC,ATL,at PIT,at CAR,BAL,LAR,SEA,BYE,at CLE,NO,at SF,CIN,at ARI,CAR,at ATL
TEN,NYG,at BUF,LV,at IND,at WAS,BYE,IND,at HOU,at KC,DEN,at GB,CIN,at PHI,JAC,at LAC,HOU,DAL,at JAC
WAS,JAC,at DET,PHI,at DAL,TEN,at CHI,GB,at IND,MIN,at PHI,at HOU,ATL,at NYG,BYE,NYG,at SF,CLE,DAL